date,equity
2021-03-22,206379.00431910218
2021-03-23,206379.00431910218
2021-03-24,206379.00431910218
2021-03-25,206379.00431910218
2021-03-26,206379.00431910218
2021-03-27,206379.00431910218
2021-03-28,206379.00431910218
2021-03-29,206379.00431910218
2021-03-30,206379.00431910218
2021-03-31,206379.00431910218
2021-04-01,206379.00431910218
2021-04-02,206379.00431910218
2021-04-03,206379.00431910218
2021-04-04,206379.00431910218
2021-04-05,206379.00431910218
2021-04-06,206379.00431910218
2021-04-07,206379.00431910218
2021-04-08,206379.00431910218
2021-04-09,206379.00431910218
2021-04-10,206379.00431910218
2021-04-11,206379.00431910218
2021-04-12,206379.00431910218
2021-04-13,220181.18953331787
2021-04-14,217284.8754880584
2021-04-15,219726.0294932395
2021-04-16,210160.7409011016
2021-04-17,210614.54661029298
2021-04-18,196713.75048877948
2021-04-19,196713.75048877948
2021-04-20,196713.75048877948
2021-04-21,196713.75048877948
2021-04-22,196713.75048877948
2021-04-23,196713.75048877948
2021-04-24,196713.75048877948
2021-04-25,196713.75048877948
2021-04-26,196713.75048877948
2021-04-27,196713.75048877948
2021-04-28,196713.75048877948
2021-04-29,196713.75048877948
2021-04-30,196713.75048877948
2021-05-01,196713.75048877948
2021-05-02,196713.75048877948
2021-05-03,196713.75048877948
2021-05-04,196713.75048877948
2021-05-05,196713.75048877948
2021-05-06,196713.75048877948
2021-05-07,196713.75048877948
2021-05-08,196713.75048877948
2021-05-09,196713.75048877948
2021-05-10,196713.75048877948
2021-05-11,196713.75048877948
2021-05-12,196713.75048877948
2021-05-13,196713.75048877948
2021-05-14,196713.75048877948
2021-05-15,196713.75048877948
2021-05-16,196713.75048877948
2021-05-17,196713.75048877948
2021-05-18,196713.75048877948
2021-05-19,196713.75048877948
2021-05-20,196713.75048877948
2021-05-21,196713.75048877948
2021-05-22,196713.75048877948
2021-05-23,196713.75048877948
2021-05-24,196713.75048877948
2021-05-25,196713.75048877948
2021-05-26,196713.75048877948
2021-05-27,196713.75048877948
2021-05-28,196713.75048877948
2021-05-29,196713.75048877948
2021-05-30,196713.75048877948
2021-05-31,196713.75048877948
2021-06-01,196713.75048877948
2021-06-02,196713.75048877948
2021-06-03,196713.75048877948
2021-06-04,196713.75048877948
2021-06-05,196713.75048877948
2021-06-06,196713.75048877948
2021-06-07,196713.75048877948
2021-06-08,196713.75048877948
2021-06-09,196713.75048877948
2021-06-10,196713.75048877948
2021-06-11,196713.75048877948
2021-06-12,196713.75048877948
2021-06-13,196713.75048877948
2021-06-14,196713.75048877948
2021-06-15,196713.75048877948
2021-06-16,196713.75048877948
2021-06-17,196713.75048877948
2021-06-18,196713.75048877948
2021-06-19,196713.75048877948
2021-06-20,196713.75048877948
2021-06-21,196713.75048877948
2021-06-22,196713.75048877948
2021-06-23,196713.75048877948
2021-06-24,196713.75048877948
2021-06-25,196713.75048877948
2021-06-26,196713.75048877948
2021-06-27,196713.75048877948
2021-06-28,196713.75048877948
2021-06-29,196713.75048877948
2021-06-30,196713.75048877948
2021-07-01,196713.75048877948
2021-07-02,196713.75048877948
2021-07-03,196713.75048877948
2021-07-04,196713.75048877948
2021-07-05,196713.75048877948
2021-07-06,196713.75048877948
2021-07-07,196713.75048877948
2021-07-08,196713.75048877948
2021-07-09,196713.75048877948
2021-07-10,196713.75048877948
2021-07-11,196713.75048877948
2021-07-12,196713.75048877948
2021-07-13,196713.75048877948
2021-07-14,196713.75048877948
2021-07-15,196713.75048877948
2021-07-16,196713.75048877948
2021-07-17,196713.75048877948
2021-07-18,196713.75048877948
2021-07-19,196713.75048877948
2021-07-20,196713.75048877948
2021-07-21,196713.75048877948
2021-07-22,196713.75048877948
2021-07-23,196713.75048877948
2021-07-24,196713.75048877948
2021-07-25,196713.75048877948
2021-07-26,196713.75048877948
2021-07-27,196713.75048877948
2021-07-28,196713.75048877948
2021-07-29,196713.75048877948
2021-07-30,196713.75048877948
2021-07-31,196713.75048877948
2021-08-01,196713.75048877948
2021-08-02,196713.75048877948
2021-08-03,189792.71578770256
2021-08-04,199822.31833593303
2021-08-05,204113.1531106969
2021-08-06,210163.89890340145
2021-08-07,237686.51407226885
2021-08-08,226277.55752054098
2021-08-09,239870.90909865522
2021-08-10,241725.7045242737
2021-08-11,244587.41650468184
2021-08-12,238198.2226777117
2021-08-13,258865.39665946134
2021-08-14,254619.54102653117
